KUNTA_NIMI,TOTAL_PAYMENTS
Merijärvi,27912
Kaskinen,30282
Kivijärvi,53640
Ristijärvi,56682
Hammarland,57744
Pelkosenniemi,66378
Siikainen,71352
Hartola,98136
Rääkkylä,105711
Myrskylä,106932
